,both_corr,m1_only,m2_only,both_incorr
sent_0,3,0,0,2
sent_1,1,0,0,3
sent_2,5,0,0,0
sent_3,1,0,0,5
sent_4,2,1,0,1
sent_5,1,0,0,1
sent_6,0,0,0,0
sent_7,2,0,0,0
sent_8,1,0,0,0
sent_9,4,0,0,0
sent_10,2,0,0,0
sent_11,2,0,0,0
sent_12,1,0,0,0
sent_13,3,0,0,0
sent_14,5,0,0,0
sent_15,1,1,1,0
sent_16,4,1,1,0
sent_17,1,0,3,1
sent_18,1,0,0,2
sent_19,2,0,0,2
sent_20,3,1,0,0
sent_21,3,0,0,1
sent_22,2,1,0,1
sent_23,1,0,0,1
sent_24,2,0,0,0
sent_25,3,0,0,0
sent_26,0,0,1,0
sent_27,3,0,0,1
sent_28,0,1,0,0
sent_29,0,0,0,1
sent_30,2,0,0,2
sent_31,0,0,0,0
sent_32,3,0,0,0
sent_33,1,0,0,1
sent_34,1,0,0,1
sent_35,4,0,0,0
sent_36,1,0,0,2
sent_37,0,0,0,5
sent_38,5,0,0,2
sent_39,1,1,0,0
sent_40,1,0,2,1
sent_41,1,0,0,2
sent_42,2,0,0,0
sent_43,1,0,1,3
sent_44,1,0,1,1
sent_45,2,0,1,1
sent_46,2,0,0,0
sent_47,0,0,0,0
sent_48,0,0,0,0
sent_49,1,0,0,2
sent_50,3,1,0,1
sent_51,2,0,0,2
sent_52,4,0,0,0
sent_53,5,0,0,0
sent_54,5,0,0,2
sent_55,1,0,0,0
sent_56,2,1,0,2
sent_57,0,0,0,1
sent_58,3,0,0,1
sent_59,2,0,0,1
sent_60,2,0,1,0
sent_61,1,0,0,0
sent_62,2,0,0,1
sent_63,0,0,0,0
sent_64,1,0,0,0
sent_65,1,0,0,2
sent_66,1,0,0,2
sent_67,0,0,0,0
sent_68,1,0,0,1
sent_69,2,1,0,0
sent_70,1,0,0,1
sent_71,1,0,0,1
sent_72,1,0,1,0
sent_73,0,0,0,4
sent_74,2,0,0,3
sent_75,0,0,1,0
sent_76,3,0,2,2
sent_77,1,0,0,1
sent_78,2,0,0,1
sent_79,4,0,0,1
sent_80,0,0,0,1
sent_81,1,1,0,2
sent_82,1,0,0,2
sent_83,3,0,0,2
sent_84,1,0,2,1
sent_85,2,0,0,0
sent_86,3,0,0,0
sent_87,2,0,0,1
sent_88,3,0,0,0
sent_89,4,0,0,0
sent_90,0,0,0,2
sent_91,2,0,0,1
sent_92,2,0,0,0
sent_93,4,0,0,1
sent_94,4,0,0,0
sent_95,2,0,0,0
sent_96,2,0,0,0
sent_97,3,0,0,2
sent_98,0,0,1,2
sent_99,2,0,0,4
sent_100,2,0,0,1
sent_101,1,0,0,6
sent_102,3,0,0,2
sent_103,2,0,0,1
sent_104,0,0,0,2
